orig_year,loans,upb_billions,dlq_rate_pct,serious_dlq_pct,avg_fico,avg_rate,avg_ltv,avg_loan_age,pct_30dpd,pct_60dpd,pct_90dpd,pct_120plus,pct_excellent,pct_fair
2014,296,0.0,0.34,0.0,758.0,4.219,69.4,,0.34,0.0,0.0,0.0,36.8,3.7
2015,2887,0.72,0.35,0.17,770.0,4.0,77.3,81.0,0.1,0.07,0.03,0.14,46.4,0.4
2016,148415,32.05,0.98,0.35,750.0,3.994,76.6,65.0,0.5,0.13,0.06,0.25,31.7,7.4
2017,157129,33.77,0.97,0.35,746.0,4.417,76.7,53.0,0.5,0.12,0.04,0.27,29.7,9.0
2018,110769,24.05,0.87,0.35,747.0,4.765,75.9,41.0,0.43,0.1,0.05,0.26,30.0,9.2
2019,105940,24.91,0.83,0.29,750.0,4.657,75.9,33.0,0.44,0.1,0.05,0.22,31.3,8.3
2020,193679,52.23,0.56,0.15,759.0,3.328,74.2,49.0,0.34,0.07,0.03,0.12,38.4,3.9
2021,109770,30.37,1.35,0.4,749.0,3.188,74.5,49.0,0.76,0.19,0.1,0.29,31.2,7.9
2022,50446,15.03,2.39,0.91,746.0,5.385,75.2,39.0,1.1,0.38,0.16,0.72,29.0,10.1
2023,56813,16.64,1.79,0.71,750.0,6.52,75.6,33.0,0.87,0.2,0.15,0.55,30.2,7.1
2024,56145,17.91,1.09,0.3,755.0,6.926,75.5,22.0,0.6,0.19,0.06,0.24,36.4,7.0
